name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
ANCHOR MEDICAL GROUP - SAINT PETERSBURG 76TH AVE,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,,300 76th Ave St,"St Pete Beach, FL 33706",727-894-1661,,1,MEHUL SHAH
THE TRANSITION HOUSE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3800 5th Street,"Saint Cloud, FL 34769",407-892-5700,Most private insurance and public insurance plans,1,THERESA LUPE
"GEORGE NORTHRUP, MD OFFICE","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3601 West Azeele,"Tampa, FL 33609",813-350-9500,"Limited health network, please contact office to learn more",1,GEORGE NORTHRUP
FLORIDA COUNSELING CENTERS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",100 South Harbor City Blvd.,"Melbourne, FL 32901",321-259-1662,"Most private insurance, no public insurance plans",1,BETHANN MAHONEY
BAY MEDICAL CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",7001 Central Ave,"St. Petersburg, FL 33710",727-343-6606,"Limited health network, please contact office to learn more",1,KATARZYNA OSTRZENSKA
AGENCY FOR COMMUNITY TREATMENT SERVICES- TAMPA,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",2214 East Henry Ave,"Tampa, FL 33610",813-367-2317,Most private insurance and public insurance plans,1,MICHAEL STROLLA
RIVERSIDE RECOVERY OF TAMPA,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",4004 N. Riverside Drive,"Tampa, FL 33603",813-575-4141,Most private insurance and public insurance plans,1,MICHAEL SORE
BAYCARE LIFE MANAGEMENT,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2727 W. Dr. Martin Luther King Jr. Blvd Suite 640,"Tampa, FL 33607",813-812-7582,Most private insurance and public insurance plans,1,JASON FIELDS
FOOTPRINTS BEACHSIDE RECOVERY,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",151 107th Ave 13,"Treasure Island, FL 33706",727-954-3908,"Most private insurance, no public insurance plans",1,SPEROS HAMPILOS
ADVANCED NEUROSPINE ASSOCIATES,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",825 East Oak Street,"Kissimmee, FL 34744",321-442-8009,,4,"PAUL WEBSTER,OMAR QUILES,MARIA PUNZALAN,KIM-NGOC DANG"
PARK PLACE BEHAVIORAL HEALTHCARE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",206 PARK PLACE BLVD,"KISSIMMEE, FL 34741",407-846-0023 Ext.1038,Most private insurance and public insurance plans,2,"ERIKA COOPER,STEVEN SPEISER"
HOUSE OF FREEDOM,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",2311 North Orange Blossom Trail,"Kissimmee, FL 34744",407-957-9077,Most private insurance and public insurance plans,1,JOSE MENDEZ
Healthcare Connections of Tampa,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",825 West Linebaugh Avenue,"Tampa, FL 33612",813-931-5560,"Most private insurance, no public insurance plans",1,MICHAEL STROLLA
TRANQUIL SHORES,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",4300 Duhme Road,"Madeira Beach, FL 33708",877-566-1166,"Most private insurance, no public insurance plans",1,RICHARD ARANIBAR
PHYSICAL MEDICINE CENTER,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",14522 University Point Place,"Tampa, FL 33613",813-978-0020,"Limited health network, please contact office to learn more",2,"JESSICA WILSON-CHAN,ROBERT FIETSAM"
ASSOCIATES FOR BEHAVIORAL MEDICINE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",14437 University Cove Place,"Tampa, FL 33613",813-972-7946,"Most private insurance, no public insurance plans",1,DEBRA BARNETT
CleanSlate Addiction Treatment Centers - Tampa (West),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5919 Webb Road,"Tampa, FL 33615",813-682-0093,Most private insurance and public insurance plans,1,DENISE JOSEY
CLEAN RECOVERY CENTERS (Insight Behavioral Health & Addiction Solutions),"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",508 West Fletcher Ave,"Tampa, FL 33612",888330532,"Most private insurance, no public insurance plans",1,KEVIN GORMLEY
TURNING POINT OF TAMPA,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",6227 Sheldon Rd,"Tampa, FL 33615",813-882-3003,Most private insurance and public insurance plans,1,HARDEEP SINGH
OPERATION PAR - CLEARWATER MAPS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","6150 150th Avenue North, Suite 1","Clearwater, FL 33760",727-507-4673,"Limited health network, please contact office to learn more",3,"MARGARET KELLY,MARY PUGH,CHARLES MCALLISTER"
Operation Par - Detox Center,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence","6150 150th Avenue North, Suite 2","Clearwater, FL 33760",727-507-4673,"Limited health network, please contact office to learn more",3,"MARGARET KELLY,MARY PUGH,CHARLES MCALLISTER"
ADVANCED CARE PHYSICIANS GROUP,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","9555 Seminole Blvd, Suite 100","Seminole, FL 33772",727-729-9000,"Limited health network, please contact office to learn more",2,"MICHAEL SCHAEFER,KINGSLEY ASARE"
LARGO CLINIC,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",10500 Ulmerton Rd. STE 360,"Largo, FL 33771",727-517-1500,"Limited health network, please contact office to learn more",1,GEORGE KAMAJIAN
THE CARE CLINIC - COCOA BEACH,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","1811 South Orlando Avenue, Suite A","Cocoa Beach, FL 32931",844-782-6963,"Limited health network, please contact office to learn more",2,"SIDDHARTH ARORA,ERIN KIM"
CLEARWATER PRIMARY CARE & AESTHETICS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",818 Chestnut St,"Clearwater, FL 33775",727-443-7478,"Most private insurance, no public insurance plans",1,JAIME BURNS
ALMA BEHAVIORAL GROUP,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",8615 Commodity Circle STE 12,"Orlando, FL 32819",407-476-1212,Most private insurance and public insurance plans,1,JOSE MENDEZ
AFFORDABLE CARE CLINICS @ SANDLAKE MEDICAL WALK-IN CLINIC,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1650 SANDLAKE RD STE 112A,"ORLANDO, FL 32809",407-286-1829,Most private insurance and public insurance plans,3,"UDAY DAPHTARY,KANTILAL BHALANI,KAREN CARTER"
ORLANDO PSYCHIATRIC ASSOCIATES - ORLANDO,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2345 Sand Lake Road,"Orlando, FL 32809",407-851-5121,Most private insurance and public insurance plans,0,NA
"JOSEPH HAAS, MD OFFICE","Prescriber, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2430 Estancia Blvd Ste 104,"Clearwater, FL 33761",727-723-2442,Most private insurance and public insurance plans,1,JOSEPH HAAS
ADVANTAGE MENTAL HEALTH CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",28465 US 19 N,"Clearwater, FL 33761",727-600-8093,No Insurance accepted,0,NA
"STEPS, INC- COCOA","Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",803 North Fiske Boulevard,"Cocoa, FL 32922",321-637-7730,Most private insurance and public insurance plans,1,KANTILAL BHALANI
CENTRAL FLORIDA RECOVERY CENTERS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","6900 Turkey Lake Road, Suite 1-2","Orlando, FL 32819",407-370-5357,Most private insurance and public insurance plans,1,HARBINDER GHULLDU
ORLANDO RECOVERY CENTER,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",6000 Lake Ellanor Drive,"Orlando, FL 32809",407-613-5555,No Insurance accepted,3,"TIMOTHY HUCKABY,JENNYFFER MILLER,DORCIA WILSON"
TRICOUNTY PSYCHIATRIC,Injection Provider,Outpatient Facility,,101 E MILLER ST,"ORLANDO, FL 32806",407-246-6620,"Most private insurance, no public insurance plans",1,RAGHU GANJAM
AGENCY FOR COMMUNITY TREATMENT SERVICES- TARPON SPRINGS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",3575 Old Keystone Rd.,"Tarpon Springs, FL 34688",727-942-4181,Most private insurance and public insurance plans,1,MICHAEL STROLLA
ASPIRE - ORLANDO (W COLUMBIA ST),"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",100 W COLUMBIA ST,"ORLANDO, FL 32806",407-875-3700,Most private insurance and public insurance plans,1,ALLISON HANLEY
DOCTORS PAIN MANAGEMENT ASSOCIATES LLC,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",601 South Semoran Blvd,"Orlando, FL 32807",321-442-8009,,4,"OMAR QUILES,MARIA PUNZALAN,PAUL WEBSTER,KIM-NGOC DANG"
ADVANCE PREVENTATIVE MEDICINE URGENT CARE,,"Inpatient Facility, Outpatient Facility",,1400 E Robinson St.,"Orlando, FL 32801",407-845-8623,"Limited health network, please contact office to learn more",1,SAIED SHEMIRANEI
"STEPS, INC- ORLANDO","Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","1033 North Pine Hills Road, Suite 300","Orlando, FL 32808",407-522-2144,,1,KANTILAL BHALANI
ASPIRE - ORLANDO (MERCY DR),Prescriber,"Inpatient Facility, Outpatient Facility",,1800 MERCY DR,"ORLANDO, FL 32808",407-875-3700,,1,VALERIE WESTHEAD
CROSSROADS MEDICAL SERVICES – ORLANDO,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1850 N Alafaya Trail Suite A,"Orlando, FL 32826-4745",888-769-5408,"Limited health network, please contact office to learn more",1,THERESA BIEMER
BRIDGES INTERNATIONAL - CENTERS FOR RECOVERY AND RE-ENTRY,"Prescriber, Injection Provider",,"Alcohol Dependence, Opioid Dependence","6388 Silver Star Road, Suite 1-D","Orlando, FL 32818",407-723-5684,Most private insurance and public insurance plans,1,TAMMY TADOM
CLEAN SLATE CENTERS- ORLANDO,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2000 North Alafaya Trail, Suite 200","Orlando, FL 32826",407-571-0285,Most private insurance and public insurance plans,1,MALISSA BARBOSA
SERGIO MENENDEZ MD OFFICE,"Prescriber, Injection Provider",Outpatient Facility,,120 Benmore Drive,"Winter Park, FL 32792",321-295-9867,,1,SERGIO MENENDEZ-APONTE
DR. WILLIAM C LEACH MD - Winter Park,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1801 Lee Road, Suite 225","Winter Park, FL 32789",321-972-9650,No Insurance accepted,1,WILLIAM LEACH
WELLNESS TREASURE LLC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5319 Grand Blvd,"New Port Richey, FL 34652",727-220-2344,Most private insurance and public insurance plans,0,NA
BAYCARE ADULT TREATMENT CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",8002 KING HELIE BOULEVARD,"NEW PORT RICHEY, FL 34653",866-762-1743,Most private insurance and public insurance plans,1,EDWIN JACKSON
LAKE HOWELL HEALTH CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",406 Lake Howell Road,"Maitland, FL 32751",407-691-3960,"Limited health network, please contact office to learn more",1,KENT HOFFMAN
FLORIDA PSYCHIATRIC ASSOCIATES,"Prescriber, Injection Provider, Counseling",Outpatient Facility,Alcohol Dependence,"2450 Maitland Center Parkway, Suite 202","Lake Mary, FL 32751",407-960-5633,Most private insurance and public insurance plans,1,ABID MIAN
KEY BRIDGE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1111 12th St, Suite 212","key west, FL 33040",305-783-3677,Most private insurance and public insurance plans,1,ANDREW MONTEIRO
ASPIRE HEALTH PARTNERS - FERN PARK,"Prescriber, Injection Provider","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",237 FERNWOOD BLVD,"FERN PARK, FL 32730",407-879-3700,Most private insurance and public insurance plans,1,VALERIE WESTHEAD
SIMPLY RECOVERY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","499 North State Road 434, Suite 1073","Altamonte Springs, FL 32714",407-765-1313,"Limited health network, please contact office to learn more",1,Allan Zubkin
Solace Behavioral Health,"Prescriber, Counseling",Outpatient Facility,,"17222 Hospital Boulevard, Suite 226","Brooksville, FL 34601",352-678-5550,Most private insurance and public insurance plans,1,TANVEER CHAUDHRY
SPRING GARDENS RECOVERY,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",8213 Cessna Dr,"Spring Hill, FL 34606",352-559-2761,Most private insurance and public insurance plans,2,"LILLIAN TENEBRUSO,TANVEER CHAUDHRY"
ORLANDO PSYCHIATRIC ASSOCIATES - LAKE MARY,Prescriber,"Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",4106 W. Lake Mary Blvd.,"Lake Mary, FL 32746",407-851-5121,Most private insurance and public insurance plans,1,SEHER SHAIKH
"CHESTER MILTENBERGER, MD OFFICE","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",766 Sun Drive,"Lake Mary, FL 32746",407-322-5923,,1,CHESTER MILTENBERGER
"Roderick Vergel De Dios, MD Office","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5105 N Mccoll Rd,"Mcallen, TX 78504",956-686-6644,Most private insurance and public insurance plans,1,RODERICK VERGEL DE DIOS
KELLY'S PHARMACY - CORPUS CHRISTI,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",520 Everhart Road,"Corpus Christi, TX 78411",361-334-4500,Most private insurance and public insurance plans,1,KELLY AKPUNKU
RANDALLS,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3131 W HOLCOMBE BLVD,"Houston, TX 77025",877-466-8028,,0,NA
THE LOVETT CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",900 Lovett Blvd,"Houston, TX 77006",713-714-5441,"Limited health network, please contact office to learn more",1,KAMAL SHAH
RANDALLS,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",5586 WESLAYAN,"Houston, TX 77005",877-466-8028,,0,NA
RANDALLS,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",2225 Louisiana,"Houston, TX 77002",877-466-8028,,0,NA
CONTEMPORARY MEDICINE ASSOCIATES,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","6565 West Loop South, Suite 525","Bellaire, TX 77401",713-661-7888,Most private insurance and public insurance plans,1,BO ALLAIRE
RANDALLS,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",5130 BELLAIRE BLVD,"Bellaire, TX 77401",877-466-8028,,0,NA
RANDALLS,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4800 WEST BELLFORT,"Houston, TX 77035",877-466-8028,,0,NA
PACE MENTAL HEALTH PRACTICE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6550 Mapleridge Street Ste. 210,"Houston, TX 77081",713-665-9000,Most private insurance and public insurance plans,1,GERALD BUSCH
